Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp_percentage,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp_percentage,medium_Cmp,medium_Att,medium_Cmp_percentage,Long_Cmp,Long_Att,Long_Cmp_percentage,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
98,Séamus Coleman,ie IRL,DF,Everton,34-211,1988,18.4,597,789,75.7,9624,3826,306,350,87.4,237,299,79.3,42,99,42.4,0,0.9,0.9,-0.9,4,35,18,7,61,Matches,0420d84f
99,Nathan Collins,ie IRL,DF,Wolves,22-010,2001,18.2,917,1036,88.5,18527,6430,270,297,90.9,520,555,93.7,110,158,69.6,0,0.1,0.2,-0.1,2,65,2,0,60,Matches,a8c19eb8
100,Levi Colwill,eng ENG,DF,Brighton,20-073,2003,9.6,741,835,88.7,12897,5206,307,333,92.2,369,405,91.1,54,73,74.0,0,0.2,0.2,-0.2,3,58,3,0,55,Matches,700783e7
101,Lewis Cook,eng ENG,MF,Bournemouth,26-096,1997,18.0,547,695,78.7,9163,2858,266,303,87.8,218,252,86.5,47,88,53.4,2,2.5,2.3,-0.5,24,53,12,9,58,Matches,2afc7272
102,Steve Cook,eng ENG,DF,Nott'ham Forest,32-021,1991,10.6,369,459,80.4,7884,2511,80,99,80.8,234,261,89.7,51,91,56.0,0,0.6,0.6,-0.6,3,18,2,1,19,Matches,3e5e4e63
103,Liam Cooper,sct SCO,DF,Leeds United,31-253,1991,14.8,572,729,78.5,10626,4247,222,253,87.7,293,348,84.2,49,108,45.4,0,0.7,0.3,-0.7,5,45,1,1,40,Matches,dc64b8b3
104,Maxwel Cornet,ci CIV,FW,West Ham,26-225,1996,1.9,44,61,72.1,588,112,28,34,82.4,13,17,76.5,1,1,100.0,0,0.1,0.1,-0.1,1,2,1,1,4,Matches,beb391dd
105,Diego Costa,es ESP,FW,Wolves,34-215,1988,12.7,137,194,70.6,1572,273,81,104,77.9,38,47,80.9,1,4,25.0,0,0.7,0.7,-0.7,11,9,4,0,13,Matches,a190d597
106,Vladimír Coufal,cz CZE,DF,West Ham,30-261,1992,21.7,643,1050,61.2,11335,5835,303,368,82.3,249,395,63.0,73,205,35.6,1,2.2,1.6,-1.2,22,64,17,12,79,Matches,fdf3cb77
107,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-332,1992,8.8,288,384,75.0,4081,976,180,210,85.7,82,112,73.2,17,36,47.2,0,0.5,0.8,-0.5,8,30,8,2,48,Matches,0ef89a37
108,Conor Coventry,ie IRL,MFFW,West Ham,23-046,2000,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,a5ca9127
109,Aaron Cresswell,eng ENG,DF,West Ham,33-146,1989,24.1,1081,1394,77.5,17573,8318,603,646,93.3,365,474,77.0,99,201,49.3,1,3.7,2.8,-2.7,40,86,28,15,142,Matches,4f974391
110,Marc Cucurella,es ESP,DF,Chelsea,24-292,1998,18.6,1090,1293,84.3,16587,5116,600,647,92.7,396,453,87.4,59,110,53.6,2,0.6,0.9,+1.4,11,77,12,6,73,Matches,1daec722
111,Matheus Cunha,br BRA,FW,Wolves,23-348,1999,10.0,160,217,73.7,1968,321,98,121,81.0,35,49,71.4,8,16,50.0,0,0.5,0.2,-0.5,6,5,2,0,13,Matches,dc62b55d
112,Patson Daka,zm ZAM,FW,Leicester City,24-213,1998,12.5,179,269,66.5,2366,422,108,143,75.5,52,77,67.5,6,10,60.0,4,2.8,1.7,+1.2,17,7,8,1,17,Matches,ca45605e
113,Diogo Dalot,pt POR,DF,Manchester Utd,24-053,1999,22.9,1105,1397,79.1,20225,6207,448,503,89.1,530,624,84.9,111,202,55.0,2,1.9,1.5,+0.1,29,80,28,13,92,Matches,d9565625
114,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-311,2000,8.9,223,330,67.6,3186,1101,127,154,82.5,72,106,67.9,13,36,36.1,0,1.0,1.0,-1.0,10,31,8,1,33,Matches,215f3907
115,Danilo,br BRA,MF,Nott'ham Forest,22-011,2001,9.1,144,217,66.4,2456,943,75,90,83.3,52,70,74.3,15,32,46.9,2,0.6,0.6,+1.4,7,22,7,0,33,Matches,a816dbfb
116,Arnaut Danjuma,nl NED,FWMF,Tottenham,26-099,1997,1.0,15,28,53.6,217,40,10,15,66.7,3,5,60.0,2,2,100.0,0,0.0,0.0,0.0,1,0,2,2,0,Matches,f08490a6
117,Josh Dasilva,eng ENG,MF,Brentford,24-199,1998,15.0,473,593,79.8,7794,1833,243,277,87.7,184,212,86.8,37,66,56.1,2,1.5,1.5,+0.5,12,33,23,5,60,Matches,60344e4f
118,Ben Davies,wls WAL,DF,Tottenham,30-016,1993,22.5,944,1159,81.4,15732,5335,453,507,89.3,399,463,86.2,66,123,53.7,2,2.3,1.3,-0.3,18,72,6,3,101,Matches,44781702
119,Tom Davies,eng ENG,MF,Everton,24-314,1998,6.0,173,234,73.9,2879,850,87,111,78.4,64,76,84.2,16,29,55.2,0,0.2,0.3,-0.2,2,25,2,0,30,Matches,9228b07c
