Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
125,Leander Dendoncker,be BEL,MF,Wolves,28-025,1995,2.4,4,2,0,3,1,1,2,0,2,9,13,4,0,5a7301ae
126,Emmanuel Dennis,ng NGA,FWMF,Nott'ham Forest,25-176,1997,7.8,16,11,5,5,6,9,13,1,12,2,18,6,0,2c44a35d
127,Halil Dervişoğlu,tr TUR,MF,Brentford,23-153,1999,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,9d8cf204
128,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24-246,1998,24.8,51,28,14,32,5,27,55,13,42,27,78,21,0,5c74c0f5
129,Ibrahima Diallo,fr FRA,MF,Southampton,24-063,1999,9.1,25,15,14,10,1,6,11,1,10,6,31,11,0,11ff3d56
130,Rúben Dias,pt POR,DF,Manchester City,25-361,1997,21.2,21,13,10,10,1,6,19,11,8,18,39,51,1,31c69ef1
131,Luis Díaz,co COL,FW,Liverpool,26-117,1997,9.1,13,9,2,8,3,6,8,0,8,3,16,1,0,4a1a9578
132,Eric Dier,eng ENG,DF,Tottenham,29-115,1994,31.3,30,19,16,12,2,10,41,24,17,35,65,112,2,ac861941
133,Lucas Digne,fr FRA,DF,Aston Villa,29-294,1993,15.1,27,11,18,8,1,12,16,5,11,17,44,39,0,1b84dbe1
134,Issa Diop,fr FRA,DF,Fulham,26-121,1997,19.4,25,17,16,8,1,14,22,15,7,30,55,71,0,a712ca2b
135,Moussa Djenepo,ml MLI,DFFW,Southampton,24-329,1998,7.7,19,11,13,5,1,15,18,2,16,11,30,7,0,254147d4
136,Ben Doak,sct SCO,FW,Liverpool,17-180,2005,0.3,3,2,1,2,0,0,1,0,1,0,3,0,0,733f1a7d
137,Matt Doherty,ie IRL,DFMF,Tottenham,31-114,1992,7.4,16,10,12,3,1,2,11,6,5,8,24,14,1,d557d734
138,Gabriel Dos Santos,br BRA,DF,Arsenal,25-142,1997,34.9,46,30,28,14,4,9,44,25,19,29,75,119,2,67ac5bb8
139,Abdoulaye Doucouré,ml MLI,MF,Everton,30-129,1993,14.0,28,18,9,14,5,23,22,3,19,11,39,10,0,02b29014
140,Cheick Doucouré,ml MLI,MF,Crystal Palace,23-122,2000,28.1,74,44,39,31,4,22,41,12,29,54,128,45,0,ce4f40c7
141,Flynn Downes,eng ENG,MF,West Ham,24-110,1999,6.5,14,8,4,8,2,5,12,1,11,5,19,6,0,69fdb896
142,Cody Drameh,eng ENG,DF,Leeds United,21-153,2001,0.8,5,4,0,4,1,1,0,0,0,1,6,1,0,e0d1510a
143,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34-115,1989,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0,3a949a25
